Country,Airlines,Model Series,Region
United States,Macquarie Aircraft Leasing Ltd,A319,North America
India,Nacil - Indian Airlines,A319,Asia-Pacific
United States,Nas Aviation Services,A319,North America
Austria,Niki,A319,Europe
United States,Northwest Airlines,A319,North America
United States,Oha Centre Street Aircraft Holdco,A319,North America
Belgium,Sabena,A319,Europe
Sweden,Sas,A319,Europe
China,Shenzhen Airlines,A319,Asia-Pacific
China,Sichuan Airlines,A319,Asia-Pacific
Singapore,Silkair,A319,Asia-Pacific
Ireland,Smbc Aviation Capital,A319,Europe
South Africa,South African Airways,A319,Africa
United States,Spirit Airlines,A319,North America
Switzerland,Swissair,A319,Europe
Portugal,Tap Air Portugal,A319,Europe
United States,Texas Aviation Group,A319,North America
China,Tibet Airlines,A319,Asia-Pacific
Tunisia,Tunisair,A319,Africa
Turkey,Turkish Airlines,A319,Europe
United States,United Airlines,A319,North America
United States,Us Airways,A319,North America
United States,Virgin America,A319,North America
Mexico,Volaris,A319,Latin America & Caribbean
United States,Z/C Aviation Partners One Llc,A319,North America
Greece,Aegean Airlines,A319,Europe
Mongolia,Aero Mongolia,A319,Asia-Pacific
Libya,Afriqiyah Airways,A319,Africa
Albania,Air Albania,A319,Europe
Turkey,Air Anka,A319,Europe
Canada,Air Canada,A319,North America
China,Air China,A319,Asia-Pacific
Cã”Te D'Ivoire,Air Cote D'Ivoire,A319,Africa
France,Air France,A319,Europe
China,Air Guilin,A319,Asia-Pacific
India,Air India,A319,Asia-Pacific
Moldova,Air Moldova,A319,Europe
Namibia,Air Namibia,A319,Africa
Senegal,Air Senegal,A319,Africa
Serbia,Air Serbia,A319,Europe
China,Air Travel,A319,Asia-Pacific
United States,Alaska Airlines,A319,North America
United States,Allegiant Air,A319,North America
France,Amelia,A319,Europe
United States,American Airlines,A319,North America
Russian Federation,Aurora,A319,Europe
Colombia,Avianca,A319,Latin America & Caribbean
El Salvador,Avianca El Salvador,A319,Latin America & Caribbean
Azerbaijan,Azerbaijan Airlines,A319,Europe
Thailand,Bangkok Airways,A319,Asia-Pacific
China,Beijing Capital Airlines,A319,Asia-Pacific
